date,place,subp_credit_all,subp_credit_coc,subp_credit_whi,debt_in_collect_all,debt_in_collect_coc,debt_in_collect_whi,median_debt_in_collect_all,median_debt_in_collect_coc,median_debt_in_collect_whi,avg_cc_util_all,avg_cc_util_coc,avg_cc_util_whi,stud_loan_del_rate_all,stud_loan_del_rate_coc,stud_loan_del_rate_whi,cc_del_rate_all,cc_del_rate_coc,cc_del_rate_whi,auto_retail_loan_del_rate_all,auto_retail_loan_del_rate_coc,auto_retail_loan_del_rate_whi,mortgage_del_rate_all,mortgage_del_rate_coc,mortgage_del_rate_whi,afs_cred_all,afs_cred_coc,afs_cred_whi,del_afs_credit_rate_all,del_afs_credit_rate_coc,del_afs_credit_rate_whi
2/28/2020,01097,38.45,52.6,31.1,42.79,59.09,34.57,1839.00,1844.00,1868,35.7,42.76,33.37,23.97,32.83,20.58,8.52,10.32,7.77,7.33,10.53,5.87,4.97,6.78,4.59,9.53,15.04,7.44,21.26,22.75,20.63
2/28/2020,01099,39.69,n/a*,35,47.08,n/a*,42.5,2392.00,n/a*,2393,35.74,n/a*,31.6,n/a*,n/a*,n/a*,12.59,n/a*,7.69,9.68,n/a*,4.84,5.36,n/a*,n/a*,7.08,n/a*,4.17,n/a*,n/a*,n/a*
2/28/2020,01101,42.96,57.89,25.65,45.14,59.6,28.26,1994.00,1852.00,2457,34.68,41.05,29.27,26.43,31.84,18.75,9.01,12.03,7.49,8.1,10.59,6.15,5.33,8.85,3.65,12.04,14.46,7.99,24.31,24.81,26.92
2/28/2020,01103,32.7,n/a**,29.23,37.97,n/a**,34.38,1609.00,n/a**,1600,29.28,n/a**,28.57,21.2,n/a**,19.88,7.2,n/a**,6.58,7.84,n/a**,7.06,4.03,n/a**,4.21,5.77,n/a**,5.22,19.47,n/a**,21.33
2/28/2020,01105,46.03,46.03,n/a**,53.97,53.97,n/a**,1907.00,1907.00,n/a**,45.02,45.02,n/a**,n/a*,n/a*,n/a**,16,16,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,11.11,11.11,n/a**,n/a*,n/a*,n/a**
2/28/2020,01107,38.38,45.21,26.19,45.79,52.05,34.92,1258.00,n/a*,n/a*,35.14,n/a*,33.51,n/a*,n/a*,n/a*,9.45,n/a*,6.25,7.94,n/a*,1.82,n/a*,n/a*,n/a*,11.78,16.44,6.35,n/a*,n/a*,n/a*
2/28/2020,01109,37.53,n/a**,30.92,39.26,n/a**,30.92,1733.00,n/a**,n/a*,39.1,n/a**,39.06,17.33,n/a**,n/a*,11.76,n/a**,9.41,8.47,n/a**,5.88,2.44,n/a**,n/a*,5.64,n/a**,2.63,n/a*,n/a**,n/a*
2/28/2020,01111,35.45,n/a**,35.45,43.23,n/a**,43.23,1587.00,n/a**,1587,33.55,n/a**,33.55,n/a*,n/a**,n/a*,5.92,n/a**,5.92,7.26,n/a**,7.26,n/a*,n/a**,n/a*,7.78,n/a**,7.78,n/a*,n/a**,n/a*
2/28/2020,01113,44.72,44.65,44.3,50.16,51.31,49.37,2585.00,2925.00,2368,43.82,46.81,41.14,23.67,26.79,n/a*,9.13,8.26,9.86,7.35,6.93,3.33,3.39,3.92,n/a*,12.38,12.12,8.23,10.34,13.33,n/a*
2/28/2020,01115,28.8,n/a*,28.83,32.87,n/a*,32.92,2190.00,n/a*,2186,33.24,n/a*,33.1,14.13,n/a*,14.21,8.59,n/a*,8.48,8.43,n/a*,8.47,2.35,n/a*,2.35,7.05,n/a*,6.93,17.53,n/a*,17.89
2/28/2020,01117,21.01,n/a**,20.97,25.09,n/a**,25.06,1902.00,n/a**,1888,30.08,n/a**,29.99,12.95,n/a**,12.89,4.95,n/a**,4.95,3.48,n/a**,3.43,4,n/a**,3.87,6.81,n/a**,6.78,15.42,n/a**,15.18
2/28/2020,01119,41.24,41.24,n/a**,47.46,47.46,n/a**,2025.00,2025.00,n/a**,37.58,37.58,n/a**,n/a*,n/a*,n/a**,14.1,14.1,n/a**,14.06,14.06,n/a**,n/a*,n/a*,n/a**,10.17,10.17,n/a**,n/a*,n/a*,n/a**
