date,place,subp_credit_all,subp_credit_coc,subp_credit_whi,debt_in_collect_all,debt_in_collect_coc,debt_in_collect_whi,median_debt_in_collect_all,median_debt_in_collect_coc,median_debt_in_collect_whi,avg_cc_util_all,avg_cc_util_coc,avg_cc_util_whi,stud_loan_del_rate_all,stud_loan_del_rate_coc,stud_loan_del_rate_whi,cc_del_rate_all,cc_del_rate_coc,cc_del_rate_whi,auto_retail_loan_del_rate_all,auto_retail_loan_del_rate_coc,auto_retail_loan_del_rate_whi,mortgage_del_rate_all,mortgage_del_rate_coc,mortgage_del_rate_whi,afs_cred_all,afs_cred_coc,afs_cred_whi,del_afs_credit_rate_all,del_afs_credit_rate_coc,del_afs_credit_rate_whi,median_credit_score_all,median_credit_score_coc,median_credit_score_whi
4/1/2020,AK,24.23,35.06,19.28,26.88,31.82,22.38,2130,1315,2242,32.52,40.59,30.92,14.81,21.52,13.04,4.6,9.35,3.74,2.36,2.31,1.61,2.66,5.56,2.43,4.34,8.44,2.71,33.41,21.54,32.19,696,644,718
4/1/2020,AL,32.36,50.18,27.71,37.64,56.12,32.82,1946,1966,1938,30.62,39.55,28.93,15.86,24.03,13.16,6.82,11.99,5.87,7.17,11.93,6.03,3.5,6.08,3.13,8.42,13.57,7.07,17.94,22.8,15.99,668,593,679
4/1/2020,AR,31.8,50.8,29.11,37.7,57.43,34.86,1657,1798,1629,30.04,39.08,29.06,16.86,26.89,14.99,7.14,13.46,6.66,4.91,10.28,4.39,3.21,4.45,3.08,2.83,3.91,2.64,6.99,6.47,6.3,670,593,675
4/1/2020,AZ,25.32,39.79,18.04,32.13,47.2,24.33,2035,1993,2011,27.68,34.52,24.66,15.36,21.32,12.36,5.57,9.18,4.31,4.25,7.43,2.81,1.99,4.05,1.35,4.92,7.37,3.68,9.59,9.8,9.13,687,636,723
4/1/2020,CA,19.99,24.08,13.62,23.98,28.35,17.26,1861,1874,1665,25.54,27.74,22.29,11.75,13.5,8.9,5.28,6.55,3.65,3.9,5.04,2.05,1.84,2.3,1.25,4.57,5.63,2.72,15.99,15.96,15.4,707,683,739
4/1/2020,CO,19.57,33.47,16.01,24.3,39.89,20.25,1668,1349,1730,25.52,32.36,23.93,11.72,15.45,10.23,4.4,7.72,3.83,2.59,4.42,2.13,1.56,2.73,1.33,4.23,7.64,3.35,13.68,17.87,11.48,723,663,739
4/1/2020,CT,20.59,39.69,14.12,25.47,44.91,18.6,1554,1417,1590,25.82,36.14,23.32,10.49,17.65,8.01,5.21,10.49,3.92,2.94,6.85,2,3.25,6.21,2.77,1.48,2.72,1.01,12.09,11.07,10.66,720,639,744
4/1/2020,DC,25.16,36.89,6.31,28.07,40.45,7.76,1441,1513,955,25.75,33.24,16.29,13.82,19.14,4.17,5.87,8.99,2.05,6.31,8.19,1.27,2.5,3.53,1.71,2.57,3.79,0.39,8.71,8.06,n/a*,698,655,759
4/1/2020,DE,25.2,43.24,19.93,31.29,51.05,25.35,1862,1932,1738,27.22,35.89,24.8,12.66,20.99,8.9,5.7,10.79,4.57,3.91,7.05,3.1,3.16,6.26,2.66,6.03,10.29,4.66,9.58,11.86,7.82,695,626,720
4/1/2020,FL,25.59,32.38,20.87,32.58,38.95,27.94,2184,2211,2149,29.18,34.68,25.7,15.06,16.75,13.45,6.83,9.57,5.23,4.23,5.84,3.23,2.95,4.16,2.32,4.76,5.65,4.05,7.75,8.82,7.03,684,661,713
4/1/2020,GA,31.51,41.94,25.27,37.29,48.29,30.94,1911,1999,1835,32.41,39.36,29.22,15.91,20.1,12.63,7.66,11.79,5.71,6.25,8.91,4.77,3.27,5.23,2.56,5.85,8,4.55,6.57,7.53,6.18,668,628,687
4/1/2020,HI,16.41,16.46,15.75,18.36,18.18,21.26,1965,1966,n/a*,26.19,26.17,26.2,12.63,12.52,n/a*,5.25,5.33,5.13,3.84,3.87,0,2.22,2.21,n/a*,4.12,4.25,2.36,12.47,13.02,n/a*,721,720,698
4/1/2020,IA,18.63,42.11,17.91,22.52,41.45,21.72,1646,912,1682,23.22,30.06,22.93,11.96,n/a*,11.76,4.25,10.34,4.14,2.45,n/a*,2.39,1.88,n/a*,1.78,2.64,2.63,2.55,6.98,n/a*,7.07,728,635,731
4/1/2020,ID,18.43,33.87,17.97,22.2,43.55,21.7,2142,n/a*,2164,25.58,n/a*,25.43,11.71,n/a*,11.51,4.07,n/a*,4.01,2.94,n/a*,2.82,1.29,n/a*,1.25,6.38,9.68,6.29,11.17,n/a*,10.96,715,647,717
